fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7,00;0.25;0.32;9,00;0.046;56,00;245,00;0.9955;45717,00;0.5;45392,00;6,00
45541,00;0.24;0.35;1,00;0.052;35,00;146,00;0.993;16497,00;0.44;10,00;6,00
7,00;0.28;0.39;45481,00;0.051;32,00;141,00;0.9961;13940,00;0.53;45422,00;6,00
45389,00;0.27;0.48;45292,00;0.047;17,00;132,00;0.9914;43525,00;0.49;45454,00;6,00
45329,00;0.32;0.36;2,00;0.033;37,00;114,00;0.9906;45294,00;0.71;45363,00;7,00
45420,00;0.24;0.39;45392,00;0.044;20,00;142,00;0.9974;45325,00;0.53;10,00;6,00
45359,00;0.14;0.34;45292,00;0.042;7,00;47,00;0.9934;17227,00;0.4;45332,00;6,00
45389,00;0.25;0.36;45414,00;0.05;31,00;100,00;0.992;43525,00;0.44;45514,00;6,00
45328,00;0.12;0.34;45413,00;0.045;43,00;117,00;0.9939;15401,00;0.51;9,00;6,00
45509,00;0.27;0.2;14.95;0.044;22,00;179,00;0.9962;13575,00;0.37;45332,00;5,00
45358,00;0.28;0.43;45474,00;0.08;21,00;123,00;0.9905;43525,00;0.42;45516,00;5,00
45418,00;0.39;0.23;45387,00;0.051;25,00;149,00;0.9934;45352,00;0.35;10,00;5,00
7,00;0.33;0.32;45323,00;0.053;38,00;138,00;0.9906;41334,00;0.28;45333,00;6,00
45358,00;0.24;0.39;17.95;0.057;45,00;149,00;0.9999;44256,00;0.36;45451,00;5,00
45358,00;0.24;0.39;17.95;0.057;45,00;149,00;0.9999;44256,00;0.36;45451,00;5,00
45479,00;0.23;0.39;45414,00;0.172;63,00;158,00;0.9937;45599,00;0.36;45391,00;6,00
45479,00;0.24;0.39;45537,00;0.173;63,00;157,00;0.9937;45294,00;0.34;45391,00;6,00
7,00;0.31;0.26;45389,00;0.069;28,00;160,00;0.9954;41334,00;0.46;45513,00;6,00
45449,00;0.24;0.27;45383,00;0.057;33,00;152,00;0.9934;44621,00;0.56;45421,00;6,00
45479,00;0.23;0.26;45383,00;0.06;33,00;154,00;0.9934;45352,00;0.56;45421,00;6,00
45389,00;0.18;0.31;45383,00;0.058;38,00;167,00;0.9931;42430,00;0.53;10,00;7,00
45328,00;0.45;0.26;45386,00;0.063;63,00;206,00;0.994;46447,00;0.52;45513,00;4,00
45328,00;0.46;0.25;45386,00;0.066;62,00;207,00;0.9939;45717,00;0.52;45513,00;5,00
7,00;0.31;0.26;45389,00;0.069;28,00;160,00;0.9954;41334,00;0.46;45513,00;6,00
45541,00;0.19;0.35;5,00;0.067;32,00;150,00;0.995;13210,00;0.48;45513,00;5,00
45329,00;0.19;0.31;45444,00;0.062;31,00;173,00;0.9917;12844,00;0.44;45484,00;6,00
45449,00;0.25;0.29;45292,00;0.068;39,00;124,00;0.9914;12479,00;0.58;11,00;7,00
45328,00;0.16;0.33;45292,00;0.057;21,00;82,00;0.991;11749,00;0.46;45545,00;7,00
45388,00;0.18;0.35;1,00;0.045;39,00;108,00;0.9911;11383,00;0.35;45545,00;6,00
45510,00;0.2;0.59;0.9;0.147;38,00;132,00;0.993;45415,00;0.38;45300,00;6,00
45541,00;0.25;0.35;45352,00;0.039;29,00;191,00;0.9908;41334,00;0.52;11,00;6,00
45329,00;0.21;0.34;45546,00;0.043;37,00;213,00;0.9962;45538,00;0.5;45452,00;6,00
6,00;0.19;0.26;45394,00;0.048;50,00;147,00;0.9972;45354,00;0.36;45543,00;6,00
45449,00;0.38;0.15;45447,00;0.044;25,00;78,00;0.9931;45599,00;0.38;45332,00;6,00
45389,00;0.2;0.36;45323,00;0.038;44,00;111,00;0.9926;13210,00;0.34;45544,00;6,00
45510,00;0.22;0.24;45539,00;0.092;30,00;123,00;0.9951;45354,00;0.46;45451,00;6,00
6,00;0.19;0.26;45394,00;0.048;50,00;147,00;0.9972;45354,00;0.36;45543,00;6,00
7,00;0.47;0.07;45292,00;0.035;17,00;151,00;0.991;45325,00;0.34;45422,00;5,00
45449,00;0.38;0.15;45447,00;0.044;25,00;78,00;0.9931;45599,00;0.38;45332,00;6,00
45329,00;0.24;0.27;45383,00;0.038;31,00;122,00;0.9927;42064,00;0.46;45361,00;6,00
45328,00;0.35;0.03;45323,00;0.064;29,00;120,00;0.9934;44621,00;0.54;45300,00;5,00
45388,00;0.26;0.24;45388,00;0.04;27,00;124,00;0.9903;44621,00;0.49;45455,00;7,00
45479,00;0.25;0.13;45323,00;0.041;81,00;174,00;0.992;41699,00;0.42;45513,00;5,00
45479,00;0.23;0.31;45293,00;0.046;30,00;96,00;0.9926;12114,00;0.64;45483,00;8,00
45389,00;0.24;0.29;45301,00;0.05;21,00;105,00;0.9962;41334,00;0.35;45421,00;5,00
45328,00;0.27;0.43;45511,00;0.056;48,00;244,00;0.9956;45294,00;0.51;9,00;6,00
45510,00;0.3;0.23;45447,00;0.061;50.5;238.5;0.9958;11749,00;0.6;45421,00;5,00
6,00;0.27;0.28;45508,00;0.063;31,00;201,00;0.9964;25263,00;0.71;10,00;5,00
45451,00;0.23;0.46;1,00;0.054;9,00;72,00;0.9941;34731,00;0.49;45300,00;6,00
45479,00;0.23;0.31;45293,00;0.046;30,00;96,00;0.9926;12114,00;0.64;45483,00;8,00
45389,00;0.24;0.29;45301,00;0.05;21,00;105,00;0.9962;41334,00;0.35;45421,00;5,00
45298,00;0.18;0.36;45383,00;0.043;31,00;87,00;0.9898;46082,00;0.37;45485,00;7,00
7,00;0.32;0.34;45352,00;0.042;20,00;69,00;0.9912;11383,00;0.65;12,00;7,00
45389,00;0.18;0.3;45512,00;0.064;26,00;103,00;0.9961;34366,00;0.56;45360,00;5,00
45479,00;0.54;0.28;45387,00;0.06;21,00;105,00;0.9949;46447,00;0.37;9,00;5,00
45510,00;0.22;0.31;45383,00;0.053;34,00;114,00;0.9929;14305,00;0.77;45453,00;6,00
45298,00;0.2;0.34;16,00;0.05;51,00;166,00;0.9985;44256,00;0.6;45331,00;6,00
45298,00;0.34;0.2;45297,00;0.063;47,00;164,00;0.9946;42795,00;0.42;10,00;5,00
45358,00;0.22;0.3;45330,00;0.047;42,00;207,00;0.9966;12114,00;0.46;45421,00;6,00
45298,00;0.43;0.61;45515,00;0.045;54,00;155,00;0.9974;45599,00;0.45;45481,00;5,00
45298,00;0.44;0.62;45515,00;0.044;52,00;152,00;0.9975;45629,00;0.46;45481,00;6,00
45329,00;0.39;0.63;11,00;0.044;55,00;156,00;0.9974;45538,00;0.44;45481,00;6,00
45510,00;0.25;0.31;45364,00;0.05;69,00;202,00;0.9972;44621,00;0.48;45482,00;6,00
45298,00;0.43;0.61;45515,00;0.045;54,00;155,00;0.9974;45599,00;0.45;45481,00;5,00
45298,00;0.44;0.62;45515,00;0.044;52,00;152,00;0.9975;45629,00;0.46;45481,00;6,00
45329,00;0.39;0.63;11,00;0.044;55,00;156,00;0.9974;45538,00;0.44;45481,00;6,00
45297,00;0.27;0.43;45419,00;0.049;65,00;243,00;0.9957;45629,00;0.47;9,00;5,00
45541,00;0.24;0.33;45474,00;0.035;47,00;136,00;0.99;46082,00;0.4;45455,00;7,00
45541,00;0.21;0.33;45505,00;0.034;48,00;136,00;0.9899;45717,00;0.41;45455,00;7,00
45419,00;0.17;0.32;45474,00;0.04;51,00;148,00;0.9916;44256,00;0.44;45423,00;7,00
45298,00;0.26;0.29;45394,00;0.044;62,00;240,00;0.9969;45385,00;0.42;45331,00;6,00
6,00;0.34;0.66;45550,00;0.046;26,00;164,00;0.9979;41699,00;0.5;45512,00;6,00
45451,00;0.265;0.36;45323,00;0.034;15,00;80,00;0.9913;34731,00;0.36;45393,00;7,00
45513,00;0.36;0.46;45422,00;0.038;4,00;83,00;0.9956;32540,00;0.3;45301,00;4,00
6,00;0.34;0.66;45550,00;0.046;26,00;164,00;0.9979;41699,00;0.5;45512,00;6,00
45389,00;0.25;0.37;45425,00;0.06;52,00;192,00;0.9975;3,00;0.44;45300,00;5,00
45298,00;0.12;0.32;45452,00;0.054;64,00;162,00;0.9962;45385,00;0.41;45391,00;5,00
6,00;0.21;0.24;45303,00;0.05;55,00;164,00;0.997;12479,00;0.39;45391,00;5,00
45419,00;0.305;0.4;45553,00;0.059;44,00;170,00;1,00;36192,00;0.46;9,00;5,00
45389,00;0.25;0.37;45425,00;0.06;52,00;192,00;0.9975;3,00;0.44;45300,00;5,00
45358,00;0.13;0.32;45396,00;0.051;34,00;109,00;0.9974;45325,00;0.35;45331,00;6,00
45298,00;0.12;0.32;45452,00;0.054;64,00;162,00;0.9962;45385,00;0.41;45391,00;5,00
45298,00;0.23;0.35;45428,00;0.04;60,00;171,00;0.999;42430,00;0.59;45300,00;6,00
45298,00;0.23;0.35;45428,00;0.04;60,00;171,00;0.999;42430,00;0.59;45300,00;6,00
45541,00;0.33;0.28;45352,00;0.051;37,00;187,00;0.9927;46447,00;0.6;45361,00;5,00
45418,00;0.17;0.54;45420,00;0.082;64,00;163,00;0.9959;32540,00;0.39;45512,00;6,00
45329,00;0.27;0.46;18.75;0.052;45,00;255,00;1,00;45385,00;0.52;45543,00;5,00
45329,00;0.31;0.5;45364,00;0.056;68,00;195,00;0.9982;45294,00;0.47;45331,00;5,00
45479,00;0.41;0.34;45331,00;0.049;29,00;150,00;0.9968;44621,00;0.51;45300,00;5,00
45479,00;0.41;0.34;45331,00;0.049;29,00;150,00;0.9968;44621,00;0.51;45300,00;5,00
45417,00;0.485;0,00;45413,00;0.065;8,00;103,00;0.994;23071,00;0.4;45482,00;4,00
6,00;0.31;0.24;45354,00;0.041;25,00;143,00;0.9914;11383,00;0.44;45362,00;6,00
7,00;0.14;0.4;45474,00;0.035;16,00;85,00;0.9911;43525,00;0.42;45515,00;6,00
45329,00;0.31;0.5;45364,00;0.056;68,00;195,00;0.9982;45294,00;0.47;45331,00;5,00
45358,00;0.32;0.48;45364,00;0.06;57,00;196,00;0.9982;45385,00;0.5;45331,00;5,00
45540,00;0.36;0.04;45478,00;0.046;21,00;87,00;0.9934;44621,00;0.51;45332,00;5,00
45511,00;0.24;0.32;45334,00;0.054;42,00;138,00;0.9984;45294,00;0.54;45512,00;5,00
45389,00;0.16;0.31;31199,00;0.059;31,00;131,00;0.9952;47178,00;0.34;45482,00;5,00
45541,00;0.19;0.28;5,00;0.058;14,00;146,00;0.9952;47178,00;0.36;45300,00;6,00
45388,00;0.13;0.47;45444,00;0.092;40,00;158,00;0.9928;44256,00;0.36;45513,00;6,00
45479,00;0.19;0.36;45292,00;0.026;63,00;143,00;0.9912;46447,00;0.48;11,00;6,00
45389,00;0.39;0.23;7,00;0.033;29,00;126,00;0.994;41699,00;0.42;45422,00;5,00
45418,00;0.24;0.32;45450,00;0.038;48,00;203,00;0.9958;16497,00;0.54;45482,00;7,00
45297,00;0.3;0.56;45506,00;0.044;47,00;179,00;0.9924;45354,00;0.57;45545,00;7,00
45297,00;0.3;0.56;45475,00;0.046;46,00;184,00;0.9924;11383,00;0.57;45545,00;6,00
45478,00;0.26;0.25;45392,00;0.02;7,00;57,00;0.994;14305,00;0.37;45453,00;5,00
45418,00;0.24;0.32;45450,00;0.038;48,00;203,00;0.9958;16497,00;0.54;45482,00;7,00
45418,00;0.425;0.4;45304,00;0.038;59,00;241,00;0.9979;44986,00;0.57;9,00;5,00
45449,00;0.24;0.27;45519,00;0.035;46,00;188,00;0.9982;45352,00;0.51;45331,00;5,00
45510,00;0.27;0.22;45299,00;0.034;55,00;203,00;0.9961;43525,00;0.52;45543,00;5,00
45479,00;0.27;0.31;45488,00;0.036;44,00;179,00;0.9979;46082,00;0.56;45452,00;5,00
45330,00;0.23;0.4;45323,00;0.027;36,00;121,00;0.992;45629,00;0.38;45483,00;6,00
45298,00;0.37;0.67;45422,00;0.045;49,00;155,00;0.9975;42430,00;0.44;45481,00;5,00
45510,00;0.19;0.36;45536,00;0.035;30,00;96,00;0.9917;42064,00;0.54;45514,00;7,00
45299,00;0.28;0.39;45536,00;0.029;18,00;79,00;0.9923;44986,00;0.52;45515,00;6,00
45357,00;0.31;0.34;45324,00;0.045;20,00;77,00;0.9927;45354,00;0.43;45332,00;5,00
45298,00;0.37;0.67;45422,00;0.045;49,00;155,00;0.9975;42430,00;0.44;45481,00;5,00
45542,00;0.21;0.4;45323,00;0.039;38,00;107,00;0.992;44256,00;0.54;45514,00;6,00
45420,00;0.21;0.41;45355,00;0.036;24,00;99,00;0.9947;43160,00;0.53;45482,00;6,00
45299,00;0.2;0.4;2,00;0.037;19,00;87,00;0.9921;45629,00;0.54;45333,00;6,00
45357,00;0.255;0.37;45292,00;0.04;37,00;114,00;0.9905;3,00;0.39;45545,00;6,00
45448,00;0.16;0.27;45383,00;0.044;53,00;168,00;0.9918;46813,00;0.37;45301,00;6,00
45388,00;0.595;0.14;45327,00;0.058;15,00;97,00;0.9951;13940,00;0.36;9,00;4,00
45357,00;0.34;0.33;45447,00;0.034;19,00;80,00;0.9917;13940,00;0.58;12,00;7,00
45541,00;0.25;0.3;45295,00;0.054;23,00;116,00;0.994;36192,00;0.38;45391,00;6,00
45542,00;0.22;0.38;8,00;0.043;46,00;152,00;0.9934;45629,00;0.32;45423,00;7,00
45450,00;0.18;0.46;45332,00;0.055;58,00;135,00;0.9968;41699,00;0.43;45544,00;6,00
45541,00;0.25;0.3;45295,00;0.054;23,00;116,00;0.994;36192,00;0.38;45391,00;6,00
45329,00;0.18;0.41;45323,00;0.048;41,00;97,00;0.9919;41699,00;0.45;45392,00;5,00
45330,00;0.23;0.4;45419,00;0.049;12,00;76,00;0.9966;45446,00;0.84;45482,00;6,00
45389,00;0.24;0.42;14,00;0.066;48,00;198,00;0.9979;32540,00;0.42;45543,00;6,00
45389,00;0.24;0.42;14,00;0.066;48,00;198,00;0.9979;32540,00;0.42;45543,00;6,00
45297,00;0.32;0.24;45413,00;0.036;38,00;124,00;0.9898;47178,00;0.42;45394,00;7,00
45327,00;0.44;0.04;45383,00;0.036;43,00;119,00;0.9894;13210,00;0.33;45303,00;8,00
45327,00;0.44;0.04;45383,00;0.036;43,00;119,00;0.9894;13210,00;0.33;45303,00;8,00
45297,00;0.32;0.24;45413,00;0.036;38,00;124,00;0.9898;47178,00;0.42;45394,00;7,00
45388,00;0.22;0.56;45426,00;0.055;27,00;159,00;0.998;35827,00;0.4;45300,00;5,00
45357,00;0.36;0.3;45508,00;0.049;14,00;85,00;0.9932;46813,00;0.39;45453,00;5,00
45389,00;0.24;0.42;14,00;0.066;48,00;198,00;0.9979;32540,00;0.42;45543,00;6,00
45479,00;0.24;0.35;45304,00;0.05;64,00;205,00;0.997;42064,00;0.5;45421,00;5,00
7,00;0.23;0.36;13,00;0.051;72,00;177,00;0.9972;42430,00;0.49;45513,00;5,00
45390,00;0.27;0.46;45481,00;0.048;39,00;197,00;0.9974;41699,00;0.59;45452,00;6,00
45479,00;0.46;0.18;45384,00;0.034;25,00;98,00;0.9896;45507,00;0.44;45455,00;7,00
45419,00;0.29;0.31;34912,00;0.055;20,00;151,00;0.9968;45507,00;0.54;45360,00;5,00
45513,00;0.42;0.48;31291,00;0.034;5,00;110,00;0.9958;31809,00;0.29;10,00;5,00
45298,00;0.3;0.46;45413,00;0.066;29,00;133,00;0.9906;45629,00;0.54;45485,00;6,00
45542,00;0.19;0.45;45413,00;0.045;17,00;96,00;0.9917;41334,00;0.39;11,00;6,00
45450,00;0.48;0.37;0.8;0.037;4,00;100,00;0.9902;45354,00;0.39;45393,00;4,00
45357,00;0.22;0.43;20180,00;0.038;31,00;130,00;0.9918;12844,00;0.33;45423,00;7,00
45419,00;0.27;0.31;45490,00;0.051;33,00;173,00;0.999;45538,00;0.64;45332,00;5,00
45541,00;0.23;0.4;45419,00;0.04;50,00;151,00;0.9927;45599,00;0.27;45393,00;6,00
45329,00;0.32;0.47;45296,00;0.044;19,00;65,00;0.991;45354,00;0.41;45455,00;4,00
45540,00;0.23;0.3;45547,00;0.054;57,00;170,00;0.9972;46813,00;0.39;45391,00;5,00
6,00;0.67;0.07;45323,00;0.06;9,00;108,00;0.9931;45599,00;0.35;45481,00;4,00
45388,00;0.25;0.32;45417,00;0.049;41,00;176,00;0.995;43525,00;0.68;45331,00;6,00
45388,00;0.33;0.31;45417,00;0.048;42,00;173,00;0.9951;43525,00;0.66;45360,00;6,00
45298,00;0.34;0.15;45323,00;0.053;61,00;183,00;0.9936;45538,00;0.43;45331,00;5,00
45510,00;0.28;0.4;22,00;0.048;48,00;167,00;1.001;34001,00;0.5;45481,00;5,00
45541,00;0.27;0.4;14,00;0.05;64,00;227,00;0.9979;43160,00;0.58;45452,00;6,00
45510,00;0.26;0.56;45546,00;0.043;64,00;226,00;0.997;45325,00;0.63;45360,00;5,00
45510,00;0.29;0.56;45546,00;0.043;66,00;230,00;0.9972;45325,00;0.63;45360,00;5,00
45479,00;0.24;0.41;45391,00;0.04;49,00;166,00;0.9954;45629,00;0.61;45544,00;6,00
45540,00;0.3;0.23;45326,00;0.038;42,00;119,00;0.9924;42064,00;0.5;11,00;5,00
45510,00;0.53;0.35;45507,00;0.034;26,00;109,00;0.9906;46082,00;0.57;45485,00;8,00
45418,00;0.28;0.28;45420,00;0.047;54,00;210,00;0.9962;45538,00;0.54;45543,00;4,00
45449,00;0.28;0.28;45420,00;0.052;55,00;211,00;0.9962;45538,00;0.55;45543,00;6,00
45510,00;0.28;0.4;22,00;0.048;48,00;167,00;1.001;34001,00;0.5;45481,00;5,00
45510,00;0.28;0.36;8,00;0.045;28,00;123,00;0.9928;45325,00;0.37;45393,00;6,00
45449,00;0.15;0.34;45296,00;0.055;34,00;125,00;0.9942;13210,00;0.42;45452,00;5,00
45388,00;0.29;0.44;45446,00;0.2;75,00;181,00;0.9942;45325,00;0.41;45300,00;5,00
45388,00;0.3;0.45;45415,00;0.197;76,00;180,00;0.9942;45325,00;0.39;45300,00;6,00
45388,00;0.29;0.44;45446,00;0.197;75,00;183,00;0.9942;45294,00;0.38;45300,00;5,00
45510,00;0.26;0.24;45511,00;0.052;54,00;214,00;0.9961;41334,00;0.47;45543,00;5,00
45298,00;0.32;0.24;45304,00;0.05;52,00;204,00;0.998;45294,00;0.49;45512,00;5,00
45510,00;0.26;0.24;45511,00;0.052;54,00;214,00;0.9961;41334,00;0.47;45543,00;5,00
45510,00;0.27;0.26;45307,00;0.049;55,00;196,00;0.9984;42064,00;0.5;45360,00;5,00
45298,00;0.32;0.24;45304,00;0.05;52,00;204,00;0.998;45294,00;0.49;45512,00;5,00
45541,00;0.54;0.32;45335,00;0.05;53,00;236,00;0.9973;45325,00;0.5;45452,00;5,00
45510,00;0.26;0.34;45548,00;0.034;39,00;134,00;0.9949;12114,00;0.53;12,00;6,00
45509,00;0.28;0.35;45353,00;0.053;36,00;114,00;0.9924;46813,00;0.5;45332,00;4,00
45388,00;0.21;0.5;45454,00;0.042;45,00;153,00;0.9972;42064,00;0.43;45512,00;5,00
7,00;0.16;0.32;45359,00;0.045;38,00;126,00;0.9958;44256,00;0.34;45331,00;5,00
45332,00;0.44;0.88;45328,00;0.049;20,00;124,00;0.9968;36192,00;0.51;45544,00;4,00
45510,00;0.57;0.29;45324,00;0.04;15,00;77,00;0.9938;11749,00;0.74;45332,00;5,00
45297,00;0.4;0.31;0.9;0.048;23,00;170,00;0.993;44621,00;0.77;45421,00;6,00
45448,00;0.245;0.25;45482,00;0.032;12,00;68,00;0.994;11383,00;0.34;45422,00;5,00
45510,00;0.18;0.38;45383,00;0.038;35,00;111,00;0.9918;11749,00;0.59;45333,00;7,00
7,00;0.16;0.32;45359,00;0.045;38,00;126,00;0.9958;44256,00;0.34;45331,00;5,00
45479,00;0.13;0.29;45356,00;0.051;31,00;122,00;0.9944;16132,00;0.37;45482,00;6,00
45328,00;0.25;0.25;45383,00;0.03;35,00;105,00;0.9912;45354,00;0.44;45302,00;7,00
45509,00;0.26;0.24;45331,00;0.044;55,00;152,00;0.9961;11383,00;0.38;45391,00;5,00
45419,00;0.27;0.36;7,00;0.036;45,00;164,00;0.9939;45354,00;0.33;11,00;5,00
45509,00;0.26;0.24;45331,00;0.044;55,00;152,00;0.9961;11383,00;0.38;45391,00;5,00
45478,00;0.28;0.24;45429,00;0.044;60,00;167,00;0.9989;11383,00;0.44;45391,00;5,00
45419,00;0.23;0.36;7,00;0.036;43,00;161,00;0.9938;45385,00;0.32;11,00;5,00
45419,00;0.27;0.36;7,00;0.036;45,00;164,00;0.9939;45354,00;0.33;11,00;5,00
45329,00;0.685;0.21;45421,00;0.07;33,00;172,00;0.9971;3,00;0.55;45300,00;6,00
45328,00;0.25;0.25;45383,00;0.03;35,00;105,00;0.9912;45354,00;0.44;45302,00;7,00
45418,00;0.19;0.3;0.8;0.043;33,00;144,00;0.9936;15401,00;0.39;45300,00;6,00
45357,00;0.495;0.22;45505,00;0.046;31,00;140,00;0.9929;14305,00;0.54;45392,00;6,00
45298,00;0.24;0.41;45521,00;0.046;39,00;145,00;0.9998;11749,00;0.39;45481,00;5,00
45388,00;0.17;0.32;45384,00;0.048;41,00;200,00;0.9938;45415,00;0.5;45482,00;6,00
45298,00;0.25;0.32;45361,00;0.041;66,00;272,00;0.9969;42795,00;0.52;45300,00;6,00
45388,00;0.17;0.32;45384,00;0.048;41,00;200,00;0.9938;45415,00;0.5;45482,00;6,00
45298,00;0.24;0.41;45521,00;0.046;39,00;145,00;0.9998;11749,00;0.39;45481,00;5,00
45510,00;0.64;0.08;45482,00;0.062;26,00;142,00;0.9972;13575,00;0.46;45543,00;4,00
45359,00;0.28;0.4;45511,00;0.041;38,00;194,00;0.9976;12479,00;0.51;45452,00;6,00
45330,00;0.27;0.39;45511,00;0.039;49,00;208,00;0.9976;11383,00;0.51;45421,00;6,00
45329,00;0.23;0.38;45365,00;0.058;55,00;194,00;0.9979;45538,00;0.44;9,00;6,00
45329,00;0.23;0.38;45365,00;0.058;55,00;194,00;0.9979;45538,00;0.44;9,00;6,00
45329,00;0.23;0.38;45365,00;0.058;55,00;194,00;0.9979;45538,00;0.44;9,00;6,00
45329,00;0.23;0.38;45365,00;0.058;55,00;194,00;0.9979;45538,00;0.44;9,00;6,00
45510,00;0.52;0.32;45335,00;0.044;54,00;221,00;0.9972;46447,00;0.5;45452,00;6,00
7,00;0.26;0.59;45383,00;0.037;40,00;120,00;0.9918;12479,00;0.41;45302,00;7,00
45328,00;0.25;0.21;15.55;0.039;28,00;159,00;0.9982;17593,00;0.64;45452,00;6,00
45358,00;0.32;0.23;45486,00;0.05;49,00;197,00;0.9985;45325,00;0.46;45481,00;5,00
45480,00;0.31;0.26;45511,00;0.031;23,00;90,00;0.9944;41334,00;0.5;45392,00;5,00
45298,00;0.21;0.37;45384,00;0.026;23,00;100,00;0.9903;42064,00;0.38;45393,00;7,00
45510,00;0.24;0.34;45475,00;0.047;64.5;218.5;0.9934;45354,00;0.58;45482,00;6,00
45541,00;0.4;0.56;45333,00;0.043;40,00;142,00;0.9975;41699,00;0.46;45481,00;5,00
45297,00;0.18;0.36;2,00;0.038;20,00;249.5;0.9923;13575,00;0.79;45362,00;6,00
45510,00;0.21;0.27;45293,00;0.03;26,00;139,00;0.99;42430,00;0.61;45455,00;7,00
45509,00;0.2;0.27;45383,00;0.031;12,00;77,00;0.9905;45717,00;0.36;45545,00;7,00
45448,00;0.19;0.26;45383,00;0.03;12,00;76,00;0.9905;45717,00;0.37;45545,00;7,00
45297,00;0.41;0.14;45392,00;0.037;18,00;119,00;0.996;13940,00;0.45;10,00;5,00
45540,00;0.21;0.28;45447,00;0.053;40,00;199,00;0.9964;26359,00;0.7;10,00;4,00
45420,00;0.26;0.21;45338,00;0.074;41,00;197,00;0.998;45325,00;0.5;45513,00;3,00
45541,00;0.4;0.56;45333,00;0.043;40,00;142,00;0.9975;41699,00;0.46;45481,00;5,00
45509,00;0.24;0.44;45415,00;0.029;5,00;109,00;0.9913;19419,00;0.43;45484,00;3,00
45509,00;0.24;0.39;45413,00;0.054;37,00;158,00;0.9932;44256,00;0.52;45360,00;6,00
45479,00;0.26;0.39;45292,00;0.04;45,00;147,00;0.9935;11749,00;0.58;45452,00;8,00
45357,00;0.35;0.3;45478,00;0.035;8,00;97,00;0.9927;46447,00;0.41;11,00;7,00
45357,00;0.35;0.3;45478,00;0.035;8,00;97,00;0.9927;46447,00;0.41;11,00;7,00
45388,00;0.23;0.39;45505,00;0.032;23,00;118,00;0.9912;11749,00;0.5;45515,00;6,00
45509,00;0.36;0.38;0.9;0.037;3,00;75,00;0.9904;46813,00;0.34;45393,00;4,00
45541,00;0.115;0.35;45387,00;0.048;36,00;108,00;0.9939;11749,00;0.42;45332,00;6,00
45541,00;0.29;0.4;19.45;0.043;36,00;156,00;0.9996;34001,00;0.47;45543,00;5,00
45541,00;0.28;0.4;45330,00;0.036;15,00;95,00;0.9944;42795,00;0.33;45332,00;5,00
45329,00;0.29;0.4;45456,00;0.045;66,00;231,00;0.9977;45507,00;0.59;45452,00;6,00
